year,runtime,budget_num,star_count,director_count,writer_count,season_Autumn,season_Spring,season_Summer,season_Winter,primary_genre_Action,primary_genre_Action Epic,primary_genre_Adult Animation,primary_genre_Adventure,primary_genre_Adventure Epic,primary_genre_Alien Invasion,primary_genre_Animal Adventure,primary_genre_Animation,primary_genre_Anime,primary_genre_Artificial Intelligence,primary_genre_B-Action,primary_genre_B-Horror,primary_genre_Baseball,primary_genre_Basketball,primary_genre_Biography,primary_genre_Body Horror,primary_genre_Body Swap Comedy,primary_genre_Boxing,primary_genre_Buddy Comedy,primary_genre_Buddy Cop,primary_genre_Bumbling Detective,primary_genre_Caper,primary_genre_Car Action,primary_genre_Classic Musical,primary_genre_Classical Western,primary_genre_Comedy,primary_genre_Coming-of-Age,primary_genre_Computer Animation,primary_genre_Concert,primary_genre_Conspiracy Thriller,primary_genre_Contemporary Western,primary_genre_Cop Drama,primary_genre_Costume Drama,primary_genre_Cozy Mystery,primary_genre_Crime,primary_genre_Crime Documentary,primary_genre_Cyber Thriller,primary_genre_Cyberpunk,primary_genre_Dark Comedy,primary_genre_Dark Fantasy,primary_genre_Dark Romance,primary_genre_Desert Adventure,primary_genre_Dinosaur Adventure,primary_genre_Disaster,primary_genre_Docudrama,primary_genre_Documentary,primary_genre_Drama,primary_genre_Drug Crime,primary_genre_Dystopian Sci-Fi,primary_genre_Epic,primary_genre_Erotic Thriller,primary_genre_Extreme Sport,primary_genre_Fairy Tale,primary_genre_Faith & Spirituality Documentary,primary_genre_Fantasy,primary_genre_Fantasy Epic,primary_genre_Farce,primary_genre_Feel-Good Romance,primary_genre_Film Noir,primary_genre_Folk Horror,primary_genre_Food Documentary,primary_genre_Football,primary_genre_Found Footage Horror,primary_genre_Gangster,primary_genre_Giallo,primary_genre_Globetrotting Adventure,primary_genre_Gun Fu,primary_genre_Hand-Drawn Animation,primary_genre_Hard-boiled Detective,primary_genre_Heist,primary_genre_High-Concept Comedy,primary_genre_Historical Epic,primary_genre_History Documentary,primary_genre_Holiday Comedy,primary_genre_Holiday Family,primary_genre_Holiday Romance,primary_genre_Horror,primary_genre_Jukebox Musical,primary_genre_Jungle Adventure,primary_genre_Kaiju,primary_genre_Korean Drama,primary_genre_Kung Fu,primary_genre_Legal Drama,primary_genre_Legal Thriller,primary_genre_Martial Arts,primary_genre_Medical Drama,primary_genre_Military Documentary,primary_genre_Mockumentary,primary_genre_Monster Horror,primary_genre_Motorsport,primary_genre_Mountain Adventure,primary_genre_Music,primary_genre_Music Documentary,primary_genre_Musical,primary_genre_Mystery,primary_genre_Nature Documentary,primary_genre_News,primary_genre_One-Person Army Action,primary_genre_Parody,primary_genre_Period Drama,primary_genre_Police Procedural,primary_genre_Political Documentary,primary_genre_Political Drama,primary_genre_Political Thriller,primary_genre_Pop Musical,primary_genre_Prison Drama,primary_genre_Psychological Drama,primary_genre_Psychological Horror,primary_genre_Psychological Thriller,primary_genre_Quest,primary_genre_Quirky Comedy,primary_genre_Raunchy Comedy,primary_genre_Road Trip,primary_genre_Rock Musical,primary_genre_Romance,primary_genre_Romantic Comedy,primary_genre_Romantic Epic,primary_genre_Samurai,primary_genre_Satire,primary_genre_Sci-Fi,primary_genre_Sci-Fi Epic,primary_genre_Science & Technology Documentary,primary_genre_Screwball Comedy,primary_genre_Sea Adventure,primary_genre_Serial Killer,primary_genre_Showbiz Drama,primary_genre_Slapstick,primary_genre_Slasher Horror,primary_genre_Soap Opera,primary_genre_Soccer,primary_genre_Space Sci-Fi,primary_genre_Spaghetti Western,primary_genre_Splatter Horror,primary_genre_Sports Documentary,primary_genre_Spy,primary_genre_Stand-Up,primary_genre_Steampunk,primary_genre_Steamy Romance,primary_genre_Stoner Comedy,primary_genre_Stop Motion Animation,primary_genre_Superhero,primary_genre_Supernatural Fantasy,primary_genre_Supernatural Horror,primary_genre_Survival,primary_genre_Suspense Mystery,primary_genre_Swashbuckler,primary_genre_Sword & Sandal,primary_genre_Sword & Sorcery,primary_genre_Teen Adventure,primary_genre_Teen Comedy,primary_genre_Teen Drama,primary_genre_Teen Fantasy,primary_genre_Teen Horror,primary_genre_Teen Romance,primary_genre_Thriller,primary_genre_Time Travel,primary_genre_Tragedy,primary_genre_Tragic Romance,primary_genre_Travel Documentary,primary_genre_True Crime,primary_genre_Urban Adventure,primary_genre_Vampire Horror,primary_genre_War,primary_genre_War Epic,primary_genre_Water Sport,primary_genre_Werewolf Horror,primary_genre_Western,primary_genre_Western Epic,primary_genre_Whodunnit,primary_genre_Witch Horror,primary_genre_Workplace Drama,primary_genre_Wuxia,primary_genre_Zombie Horror,mpa_Approved,mpa_G,mpa_GP,mpa_M,mpa_M/PG,mpa_NC-17,mpa_Not Rated,mpa_PG,mpa_PG-13,mpa_Passed,mpa_R,mpa_TV-14,mpa_TV-G,mpa_TV-MA,mpa_TV-PG,mpa_TV-Y7,mpa_Unknown,mpa_Unrated,mpa_X
1998,1.0,30000000.0,10,1,2,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1960,3.0,15000000.0,10,1,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1985,1.0,8000000.0,10,1,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2019,2.0,8500000.0,10,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2013,2.0,35000000.0,10,1,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2013,1.0,45000000.0,10,1,3,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1962,1.0,146860.4,10,1,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2020,1.0,2300000.0,10,1,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2008,2.0,30000000.0,10,1,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2003,1.0,3000000.0,10,1,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
